object_id,field,field_group,value,certainty,source_id,locator
IBI-BF211A4B72F7,handwriting_attribution,practitioner,Giyonay daughter of Lalay,reported,SRC-A90AB34CA3FE,"p. 105, note 434"
IBI-BF211A4B72F7,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-A90AB34CA3FE,"p. 105, note 434"
IBI-BF96C5EC6A0B,catalogue_language_codes,language,heb,reported,SRC-7E06AEF259FF,MMS 997008712544605171
IBI-BF96C5EC6A0B,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-7E06AEF259FF,MMS 997008712544605171
IBI-BF96C5EC6A0B,dating,dating,400–899 CE,reported,SRC-7E06AEF259FF,MMS 997008712544605171
IBI-BF96C5EC6A0B,dimensions,dimensions,Height 60 mm; source field ‘הקף’ 147 mm,reported,SRC-7E06AEF259FF,MMS 997008712544605171
IBI-BFAC7CA37B96,attributed_author,practitioner,Pabak son of Kufithai and Abiina son of Geribta,reported,SRC-A90AB34CA3FE,"p. 102, table 6, NFP 9 and note 416"
IBI-BFAC7CA37B96,current_or_reported_collection,location,Penn Museum,reported,SRC-A90AB34CA3FE,"p. 102, table 6, NFP 9 and note 416"
IBI-BFAC7CA37B96,formula_genre,ritual,General charm,reported,SRC-A90AB34CA3FE,"p. 102, table 6, NFP 9 and note 416"
IBI-BFAC7CA37B96,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-A90AB34CA3FE,"p. 102, table 6, NFP 9 and note 416"
IBI-BFFEC04064FE,current_location,location,Penn Museum,reported,SRC-DA1288CA9874,https://collections.penn.museum/collections/object/17299
IBI-BFFEC04064FE,material,material,Ceramic; Ink,reported,SRC-DA1288CA9874,https://collections.penn.museum/collections/object/17299
IBI-C009531055DF,biblical_quotation,biblical_intertexts,Zechariah 3:2,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/262
IBI-C009531055DF,current_location,location,The Schøyen Collection,reported,SRC-C54888E36130,MS 2053/196 context: MS 2053/262
IBI-C01989E5879E,inscription_language,language,Aramaic,reported,SRC-72D809FB4249,text 050A; section pp. 43–102
IBI-C0284839BFB8,dating,dating,Bowl reported as 4th–8th century CE; inscription described as recent,disputed,SRC-06ED81256DF5,"lot 1077, component 2 of 2; record 224609"
IBI-C0284839BFB8,dimensions,dimensions,Within lot range 9.5–12.4 cm,reported,SRC-06ED81256DF5,"lot 1077, component 2 of 2; record 224609"
IBI-C0284839BFB8,material,material,Terracotta,reported,SRC-06ED81256DF5,"lot 1077, component 2 of 2; record 224609"
