source_id,title,authors,issued_year,container_title,citation,doi,source_type,access_status,scope,scope_label,scope_basis,objects_published,document_held
SRC-195B6B6E19A1,A Unique Talmudic Aramaic Incantation Bowl,Christa Müller-Kessler; Theodore Kwasman,2000,Journal of the American Oriental Society,"Müller-Kessler, Christa, and Theodore Kwasman. ‘A Unique Talmudic Aramaic Incantation Bowl.’ JAOS 120 (2000): 159–165.",10.2307/605019,article,partial,,Not yet classified,unclassified,0,0
SRC-72D809FB4249,Catalogue of the Aramaic and Mandaic Incantation Bowls in the British Museum,"J. B. Segal, with a contribution by Erica C. D. Hunter",2000,,"Segal, J. B., with Erica C. D. Hunter. Catalogue of the Aramaic and Mandaic Incantation Bowls in the British Museum. London: British Museum Press, 2000.",,catalogue,partial,catalogue,Collection catalogue,derived,252,0
SRC-A89710493F2C,Interrelations between Mandaic Lead Rolls and Incantation Bowls,Christa Müller-Kessler,2000,"Mesopotamian Magic: Textual, Historical and Interpretative Perspectives",Interrelations between Mandaic Lead Rolls and Incantation Bowls (2000). Crossref DOI 10.1163/9789004496293_016.,10.1163/9789004496293_016,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-A219DE471B07,"The ancient world - Hannu Juusola: Linguistic peculiarities in the Aramaic magic bowl texts. (Studia Orientalia 86.) vii, 264 pp. Helsinki: Finnish Oriental Society, 1999.",Dan Levene,2000,Bulletin of the School of Oriental and African Studies,"The ancient world - Hannu Juusola: Linguistic peculiarities in the Aramaic magic bowl texts. (Studia Orientalia 86.) vii, 264 pp. Helsinki: Finnish Oriental Society, 1999. (2000). OpenAlex W2012231470.",10.1017/s0041977x00007242,article,unknown,,Not yet classified,unclassified,0,0
SRC-2471CE31E5D9,Two Incantation Bowls from Babylon,Erica C. D. Hunter,2000,Iraq,"Hunter, Erica C. D. ‘Two Incantation Bowls from Babylon.’ Iraq 62 (2000): 139–147.",10.2307/4200485,article,available,,Not yet classified,unclassified,0,0
SRC-5F62C41EEF94,Two Incantation Bowls from Babylon,Herman [and others; see citation],2000,Iraq,———. “Two Incantation Bowls from Babylon.” Iraq 62 (2000): 139–47.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-307DAFB2C071,"""... and by the name of Jesus ..."" An unpublished magic bowl in Jewish Aramaic",D. Levene,1999,ePrints Soton (University of Southampton),"""... and by the name of Jesus ..."" An unpublished magic bowl in Jewish Aramaic (1999). OpenAlex W1602462662.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-21417589C8F9,‘… and by the name of Jesus …’ An Unpublished Magic Bowl in Jewish Aramaic,Dan Levene,1999,Jewish Studies Quarterly,"Levene, Dan. ‘“… and by the name of Jesus …” An Unpublished Magic Bowl in Jewish Aramaic.’ JSQ 6, no. 4 (1999): 283–308.",,article,partial,,Not yet classified,unclassified,0,0
SRC-696E71D7E586,Amulets and Magic Bowls: Aramaic Incantations of Late Antiquity,"Naveh, Joseph, and Shaul Shaked",1998,,"Naveh, Joseph, and Shaul Shaked. Amulets and Magic Bowls: Aramaic Incantations of Late Antiquity. Jerusalem: Magnes; Leiden: Brill, 1985; 2nd/3rd ed., Jerusalem, 1987/1998.",,book,unknown,corpus_edition,Edition of many bowls,derived,7,0
SRC-D444187E44BA,More Magic Spells and Formulae,Geller [and others; see citation],1997,BSOAS,———. “More Magic Spells and Formulae.” BSOAS 60 (1997): 327–35.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-7354A637359A,Two Incantation Bowls from the Collection of the Iraq Museum,Herman [and others; see citation],1997,Sumer,———. “Two Incantation Bowls from the Collection of the Iraq Museum.” Sumer 49 (1997): 107–26.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-A06D3C4C7CDF,"‘Peace Be upon You, Exalted Angels’: On Hekhalot, Liturgy and Incantation Bowls","Shaked, Shaul",1995,JSQ,"Shaked, Shaul. “‘Peace Be upon You, Exalted Angels’: On Hekhalot, Liturgy and Incantation Bowls.” JSQ 2 (1995): 197–219.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-6B7999FA31E9,Eine aramäische Zauberschale im Museum für Vor- und Fruhgeschichte zu Berlin,"Müller-Kessler, Christa",1994,Orientalia,"Müller-Kessler, Christa. “Eine aramäische Zauberschale im Museum für Vor- und Fruhgeschichte zu Berlin.” Orientalia 63 (1994): 5–9.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-C628D3B5E8F9,Two Mandaic Incantation Bowls from Nippur,Erica C. D. Hunter,1994,Baghdader Mitteilungen,"Hunter, Erica C. D. ‘Two Mandaic Incantation Bowls from Nippur.’ Baghdader Mitteilungen 25 (1994): 605–618, 18N97.",,article,available,corpus_edition,Edition of many bowls,derived,2,0
SRC-795E719C624E,Magic Spells and Formulae: Aramaic Incantations of Late Antiquity,Naveh [and others; see citation],1993,,"———, and Shaul Shaked. Magic Spells and Formulae: Aramaic Incantations of Late Antiquity. Jerusalem: Magnes, 1993.",,book,unknown,single_object_edition,Edition of one bowl,derived,1,0
SRC-FF4308945F0F,An Aramaic Incantation Bowl from Khafaje,Edward M. Cook,1992,Bulletin of the American Schools of Oriental Research,"Cook, Edward M. ‘An Aramaic Incantation Bowl from Khafaje.’ BASOR 285 (1992): 79–81.",10.2307/1357216,article,partial,,Not yet classified,unclassified,0,0
SRC-FDF316738255,Die Inschriften auf den babylonischen Thongefässen,"Chwolson, Daniel",1992,BASOR,"Chwolson, Daniel. “Die Inschriften auf den babylonischen Thongefässen.” In Corpus Inscriptionum Hebraicarum, col. 103–20. Saint Petersburg: H. Schmitzdorff, 1882. 42 Aramaic Incantation Bowls Cook, Edward M. “ An Aramaic Incantation Bowl from Khafaje.” BASOR 285 (1992): 79–81.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-7FE468EAAF58,Une coupe magique araméenne,"Gawlikowski, Michel",1990,Semitica,"Gawlikowski, Michel. “Une coupe magique araméenne.” Semitica 38 (1990): 137–45.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-B28F4418A956,Amulets and Magic Bowls: Aramaic Incantations of Late Antiquity,Joseph Naveh; Shaul Shaked,1987,,"Naveh, Joseph, and Shaul Shaked. Amulets and Magic Bowls: Aramaic Incantations of Late Antiquity. Jerusalem: Magnes Press, 1985; 2nd ed., 1987.",,book,unknown,,Not yet classified,unclassified,0,0
SRC-202A5D83B21F,Eight Incantation Bowls,Geller [and others; see citation],1986,Orientalia Lovaniensia Periodica,———. “Eight Incantation Bowls.” Orientalia Lovaniensia Periodica 17 (1986): 101–17.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-7B96CC040B1B,Magic Bowls in the Moriah Collection,Gordon [and others; see citation],1984,Orientalia,———. “Magic Bowls in the Moriah Collection.” Orientalia 53 (1984): 220– 41.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-0D5A017F426B,An Aramaic Incantation Bowl from Borsippa,Tapani Harviainen,1981,Studia Orientalia,"Harviainen, Tapani. ‘An Aramaic Incantation Bowl from Borsippa.’ Studia Orientalia (1981).",,article,available,,Not yet classified,unclassified,0,0
