identity_id,canonical_object_id,member_ids,display_name,record_status,member_count,source_count,appearance_count,completeness_score,content_completeness,reading_score
IDENT-0E8D5532FA13,IBI-8D512FDF86E0,"[""IBI-0E8D5532FA13"", ""IBI-8D512FDF86E0""]",061A,probable,2,2,2,1,1,0
IDENT-0EA741BCC672,IBI-0EA741BCC672,"[""IBI-0EA741BCC672"", ""IBI-D1CA2736055D"", ""IBI-D88FF8FE4FCB""]",CAMIB 65,probable,3,3,3,2,2,1
IDENT-0EC7827D64A8,IBI-0EC7827D64A8,"[""IBI-0EC7827D64A8""]",AMB 09,probable,1,1,1,1,1,1
IDENT-0EECB81B329A,IBI-0EECB81B329A,"[""IBI-0EECB81B329A""]",Apotropaic index MS1929/16,candidate,1,1,1,0,0,0
IDENT-0F181E2EF9E1,IBI-0F181E2EF9E1,"[""IBI-0F181E2EF9E1""]",British Museum 102982: incantation bowl,probable,1,1,1,3,0,0
IDENT-0F6031C5921B,IBI-0F6031C5921B,"[""IBI-0F6031C5921B""]",NLI incantation bowl 73 (Ms. Heb. 9467.104),confirmed,1,1,1,4,0,0
IDENT-0F72CC248889,IBI-0F72CC248889,"[""IBI-0F72CC248889""]",InscriptiFact dataset 1STO1540648,candidate,1,1,1,4,0,0
IDENT-0F792FD4A54F,IBI-0F792FD4A54F,"[""IBI-0F792FD4A54F""]",British Museum 91756: incantation bowl,probable,1,1,1,3,0,0
IDENT-0F8B15FDC9FA,IBI-0F8B15FDC9FA,"[""IBI-0F8B15FDC9FA""]",British Museum 117869: incantation bowl,probable,1,1,1,3,0,0
IDENT-0FA43D3D3845,IBI-0FA43D3D3845,"[""IBI-0FA43D3D3845""]",Apotropaic index ABE,candidate,1,1,1,0,0,0
IDENT-1000B6CDC792,IBI-1000B6CDC792,"[""IBI-1000B6CDC792""]",Penn B6352: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-103744835B8E,IBI-103744835B8E,"[""IBI-103744835B8E""]",Penn B13187: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-104CE733FB6E,IBI-104CE733FB6E,"[""IBI-104CE733FB6E""]",Apollo Art Auctions lot 1419 right bowl,candidate,1,1,1,6,1,3
IDENT-10736F9D0281,IBI-10736F9D0281,"[""IBI-10736F9D0281""]",NLI incantation bowl 6 (Ms. Heb. 9467.15),confirmed,1,1,1,4,0,0
IDENT-1096AC7149EC,IBI-1096AC7149EC,"[""IBI-1096AC7149EC"", ""IBI-48EE2D615A84""]",JBA 12,probable,2,2,2,2,1,1
IDENT-10F62BE5F176,IBI-10F62BE5F176,"[""IBI-10F62BE5F176""]",Penn 34-3-1: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-110CE4A42E40,IBI-110CE4A42E40,"[""IBI-110CE4A42E40""]",Apotropaic index MSFB19,candidate,1,1,1,0,0,0
IDENT-11589900B7B0,IBI-11589900B7B0,"[""IBI-11589900B7B0"", ""IBI-73933652D077"", ""IBI-E3AB303D9346""]",British Museum 91758: incantation bowl,probable,3,4,4,6,2,1
IDENT-116EB49D9B12,IBI-116EB49D9B12,"[""IBI-116EB49D9B12""]",NLI incantation bowl 177 (Ms. Heb. 9467.109),confirmed,1,1,1,4,0,0
IDENT-11735829BDED,IBI-11735829BDED,"[""IBI-11735829BDED""]",JBA 87,probable,1,1,1,2,1,1
IDENT-1196B85EC89E,IBI-1196B85EC89E,"[""IBI-1196B85EC89E""]",Apotropaic index IM11113,candidate,1,1,1,0,1,0
IDENT-11E2055B3482,IBI-11E2055B3482,"[""IBI-11E2055B3482""]",Apotropaic index MS2053/64,candidate,1,1,1,0,0,0
IDENT-11FC2F150C46,IBI-11FC2F150C46,"[""IBI-11FC2F150C46""]",JBA 73,probable,1,1,1,2,1,1
IDENT-121D02E69051,IBI-121D02E69051,"[""IBI-121D02E69051""]",NLI incantation bowl 82 (Ms. Heb. 9467.148),confirmed,1,1,1,4,0,0
IDENT-1255BB27ADF4,IBI-1255BB27ADF4,"[""IBI-1255BB27ADF4""]",094M,probable,1,1,1,1,0,0
IDENT-12617DC13FC0,IBI-12617DC13FC0,"[""IBI-12617DC13FC0""]",Success-in-business bowl SD 34,probable,1,1,1,1,2,2
IDENT-1276CBE352E3,IBI-1276CBE352E3,"[""IBI-1276CBE352E3""]",Apollo Art Auctions lot 1419 centre bowl,candidate,1,1,1,6,1,3
IDENT-1288C462A766,IBI-1288C462A766,"[""IBI-1288C462A766""]",NLI incantation bowl 88 (Ms. Heb. 9467.172),confirmed,1,1,1,4,0,0
IDENT-12A92BD58AA2,IBI-12A92BD58AA2,"[""IBI-12A92BD58AA2""]",British Museum 91763: incantation bowl,probable,1,1,1,3,0,0
IDENT-12E9DEF48BE8,IBI-12E9DEF48BE8,"[""IBI-12E9DEF48BE8""]",HS 3027,probable,1,1,1,2,1,1
IDENT-130DFB1D1802,IBI-130DFB1D1802,"[""IBI-130DFB1D1802""]",Penn B16063: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-131463D92B2C,IBI-131463D92B2C,"[""IBI-131463D92B2C""]",HS 3066,probable,1,1,1,3,0,0
IDENT-1355E0808717,IBI-1355E0808717,"[""IBI-1355E0808717""]",Penn 85-48-905: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-136F2CFA2ADD,IBI-136F2CFA2ADD,"[""IBI-136F2CFA2ADD""]",Apotropaic index IsIAOJA,candidate,1,1,1,0,0,0
IDENT-13A6F72CD6F0,IBI-13A6F72CD6F0,"[""IBI-13A6F72CD6F0""]",British Museum 131669: incantation bowl,probable,1,1,1,3,0,0
IDENT-13B2242254BB,IBI-13B2242254BB,"[""IBI-13B2242254BB""]",British Museum 91743: incantation bowl,probable,1,1,1,3,0,0
IDENT-13F4F4F65D1E,IBI-13F4F4F65D1E,"[""IBI-13F4F4F65D1E""]",Penn B16010: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-1417A2ECD0F9,IBI-1417A2ECD0F9,"[""IBI-1417A2ECD0F9""]",Aaron F,probable,1,1,1,1,1,1
IDENT-146141958966,IBI-146141958966,"[""IBI-146141958966""]",Apollo Art Auctions / Barnebys closed lot 3 August 2025,candidate,1,1,1,5,1,0
IDENT-1482A1A5029F,IBI-1482A1A5029F,"[""IBI-1482A1A5029F"", ""IBI-1D6632625C45""]",067A,probable,2,2,2,1,1,0
IDENT-148B8110021B,IBI-148B8110021B,"[""IBI-148B8110021B""]",British Museum 117881: incantation bowl,probable,1,1,1,3,0,0
IDENT-14DE93A591AB,IBI-14DE93A591AB,"[""IBI-14DE93A591AB"", ""IBI-75154F6F38E4""]",032A,probable,2,2,2,1,1,0
IDENT-15446E13F965,IBI-15446E13F965,"[""IBI-15446E13F965""]",NLI incantation bowl 134 (Ms. Heb. 9467.139),confirmed,1,1,1,4,0,0
IDENT-158E425708DC,IBI-158E425708DC,"[""IBI-158E425708DC""]",NLI incantation bowl 183 (Ms. Heb. 9467.133),confirmed,1,1,1,4,0,0
IDENT-15E5F5F51C15,IBI-15E5F5F51C15,"[""IBI-15E5F5F51C15""]",InscriptiFact dataset 15260339,candidate,1,1,1,4,0,0
IDENT-15FA5AB2FD95,IBI-8DBB2FDDBA64,"[""IBI-15FA5AB2FD95"", ""IBI-3C269118F2F6"", ""IBI-5530C58CC7B7"", ""IBI-8DBB2FDDBA64"", ""IBI-E8D5C937721A""]",British Museum 139524: incantation bowl,probable,5,5,6,6,3,2
IDENT-16003DD63F46,IBI-16003DD63F46,"[""IBI-16003DD63F46""]",086M,probable,1,1,1,1,0,0
IDENT-16049F29E520,IBI-16049F29E520,"[""IBI-16049F29E520""]",NLI incantation bowl 176 (Ms. Heb. 9467.105),confirmed,1,1,1,4,0,0
IDENT-160D40AE5C30,IBI-160D40AE5C30,"[""IBI-160D40AE5C30""]",MS 1927/9,probable,1,1,1,2,1,1
IDENT-1656F37F943F,IBI-1656F37F943F,"[""IBI-1656F37F943F""]",NLI incantation bowl 18 (Ms. Heb. 9467.69),confirmed,1,1,1,4,0,0
IDENT-16895A57D419,IBI-16895A57D419,"[""IBI-16895A57D419""]",Nippur Excavation 11 N 7,probable,1,1,1,2,0,0
IDENT-16929A0457B2,IBI-16929A0457B2,"[""IBI-16929A0457B2""]",NLI incantation bowl 79 (Ms. Heb. 9467.136),confirmed,1,1,1,4,0,0
IDENT-16D03874CAB3,IBI-16D03874CAB3,"[""IBI-16D03874CAB3""]",NLI incantation bowl 140 (Ms. Heb. 9467.161),confirmed,1,1,1,4,0,0
IDENT-16D19CDC2E71,IBI-16D19CDC2E71,"[""IBI-16D19CDC2E71""]",Penn B16036: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-16F45724A603,IBI-16F45724A603,"[""IBI-16F45724A603""]",NLI incantation bowl 138 (Ms. Heb. 9467.153),confirmed,1,1,1,4,0,0
IDENT-171905420AEE,IBI-171905420AEE,"[""IBI-171905420AEE""]",Penn B6366: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-173C87065236,IBI-173C87065236,"[""IBI-173C87065236""]",Apotropaic index Gor2,candidate,1,1,1,0,0,0
IDENT-178BA6C8C6EF,IBI-5F60BF45DDD7,"[""IBI-178BA6C8C6EF"", ""IBI-17E201FE4602"", ""IBI-5F60BF45DDD7""]",CAMIB 71,probable,3,3,3,2,2,1
IDENT-179214179AA4,IBI-179214179AA4,"[""IBI-179214179AA4""]",M24,probable,1,1,1,3,3,2
IDENT-17A84EB70872,IBI-17A84EB70872,"[""IBI-17A84EB70872""]",ISAC Museum A32675,confirmed,1,1,1,6,0,0
IDENT-17B3C6565520,IBI-17B3C6565520,"[""IBI-17B3C6565520""]",NLI incantation bowl 72 (Ms. Heb. 9467.100),confirmed,1,1,1,4,0,0
